Algoritmo	Entradas	Rˆ2	Rˆ2	MSE crossvalidation
KNN	x1_x2_x4_x5_x6	1	1	0.002155 +/- 0.000339
KNN	x1_x2_x3_x4	1	1	0.002164 +/- 0.000214
KNN	x1_x2_x3_x4_x6	1	1	0.002194 +/- 0.000248
KNN	x1_x3_x4_x6	1	1	0.002199 +/- 0.000235
KNN	x1_x2_x4_x6	1	1	0.002226 +/- 0.000268
KNN	x2_x3_x4_x5_x6	1	1	0.002237 +/- 0.000239
KNN	x1_x3_x4	1	1	0.002242 +/- 0.000242
KNN	x1_x2_x4_x5	1	1	0.002247 +/- 0.00022
KNN	x1_x2_x5_x6	1	1	0.002247 +/- 0.000291
KNN	x2_x3_x4_x5	1	1	0.00225 +/- 0.00018
KNN	x1_x2_x3_x4_x5	1	1	0.002256 +/- 0.000133
KNN	x1_x2_x3_x4_x5_x6	1	1	0.002256 +/- 0.000164
KNN	x1_x3_x6	1	1	0.002262 +/- 0.000206
KNN	x1_x2_x3	1	1	0.002269 +/- 0.000214
KNN	x1_x2_x3_x6	1	1	0.002275 +/- 0.000211
KNN	x1_x2_x5	1	1	0.002276 +/- 0.000252
KNN	x1_x4_x5_x6	1	1	0.002292 +/- 0.000197
KNN	x1_x2_x6	1	1	0.002297 +/- 0.00027
KNN	x2_x4_x5_x6	1	1	0.002299 +/- 0.000331
KNN	x1_x2_x3_x5_x6	1	1	0.002301 +/- 0.000173
KNN	x1_x3_x4_x5_x6	1	1	0.002304 +/- 0.000149
KNN	x2_x3_x5_x6	1	1	0.002306 +/- 0.000292
KNN	x2_x3_x4_x6	1	1	0.002308 +/- 0.000184
KNN	x1_x3_x5_x6	1	1	0.00232 +/- 0.000237
KNN	x1_x3_x4_x5	1	1	0.002331 +/- 0.000193
KNN	x2_x4_x5	1	1	0.002334 +/- 0.000398
KNN	x3_x4_x5_x6	1	1	0.002339 +/- 0.000239
KNN	x3_x4_x5	1	1	0.002341 +/- 0.000205
KNN	x1_x2_x3_x5	1	1	0.002343 +/- 0.000148
KNN	x2_x3_x4	1	1	0.002348 +/- 0.000254
KNN	x3_x5_x6	1	1	0.002358 +/- 0.000267
KNN	x2_x3_x5	1	1	0.002373 +/- 0.000239
KNN	x3_x4_x6	1	1	0.00238 +/- 0.000212
KNN	x1_x4_x5	1	1	0.002398 +/- 0.000259
KNN	x2_x3_x6	1	1	0.002402 +/- 0.000291
KNN	x1_x3_x5	1	1	0.002424 +/- 0.000259
KNN	x2_x4_x6	0.999944	0.999952	0.002392 +/- 0.000209
KNN	x1_x5_x6	0.999885	0.999896	0.002309 +/- 0.00022
KNN	x4_x5_x6	0.999265	0.999265	0.002387 +/- 0.000295
KNN	x2_x5_x6	0.997863	0.997818	0.002344 +/- 0.0002
KNN	x1_x2_x4	0.997397	0.997345	0.002332 +/- 0.000217
KNN	x1_x4_x6	0.995883	0.995987	0.002309 +/- 0.000218
KNN	x3_x4	0.994717	0.994782	0.00243 +/- 0.000143
KNN	x1_x3	0.994635	0.994753	0.002257 +/- 0.000214
KNN	x3_x6	0.988262	0.988454	0.002484 +/- 9.8e-05
KNN	x2_x3	0.982751	0.982928	0.002471 +/- 0.00042
KNN	x1_x5	0.977613	0.978055	0.002449 +/- 0.000357
KNN	x3_x5	0.976614	0.977302	0.002504 +/- 0.000228
KNN	x2_x5	0.9629	0.964641	0.002538 +/- 0.000157
KNN	x2_x4	0.960292	0.961649	0.002455 +/- 6.4e-05
KNN	x5_x6	0.953161	0.955869	0.002522 +/- 0.000249
KNN	x1_x4	0.951965	0.954079	0.002503 +/- 0.000276
KNN	x4_x5	0.940223	0.94402	0.002464 +/- 0.000309
KNN	x4_x6	0.926964	0.931128	0.002557 +/- 0.000196
KNN	x1_x6	0.921181	0.926289	0.002586 +/- 0.000425
KNN	x1_x2	0.917264	0.923686	0.00255 +/- 0.000424
KNN	x2_x6	0.895979	0.904964	0.002588 +/- 0.000313
KNN	x3	-0.191155	0.446813	0.00285 +/- 0.000169
KNN	x5	-2.057842	0.143054	0.002599 +/- 0.000387
KNN	x1	-2.029417	0.07971	0.002306 +/- 0.000215
KNN	x2	-2.651481	0.031033	0.002391 +/- 0.000151
KNN	x4	-3.198068	0.015832	0.002589 +/- 0.000416
KNN	x6	-2.928947	-0.020023	0.002437 +/- 0.000422
