Algoritmo	Entradas	Rˆ2	Rˆ2	MSE crossvalidation
MLP	x1_x4_x5_x6	-73.094074	0.014228	0.001956 +/- 0.000167
MLP	x1_x2_x4_x5	-155.715072	0.011003	0.001971 +/- 0.000167
MLP	x1_x5_x6	-123.385692	0.009933	0.001968 +/- 0.000167
MLP	x1_x2_x4_x5_x6	-145.889654	0.009394	0.001971 +/- 0.000167
MLP	x1_x2_x4_x6	-248.90353	0.009077	0.001976 +/- 0.000166
MLP	x2_x4_x5	-134.111794	0.008252	0.001975 +/- 0.000168
MLP	x1_x6	-716.689673	0.007938	0.001979 +/- 0.000176
MLP	x4_x5	-181.109472	0.007387	0.001972 +/- 0.000158
MLP	x1_x4	-306.653882	0.006848	0.001969 +/- 0.000164
MLP	x1_x5	-191.956475	0.006803	0.001969 +/- 0.000164
MLP	x4	-936.050317	0.00664	0.001984 +/- 0.00017
MLP	x1_x2_x5	-854.886847	0.006287	0.001968 +/- 0.000172
MLP	x2_x5_x6	-324.316257	0.005951	0.001985 +/- 0.000171
MLP	x1_x2_x6	-384.85917	0.005778	0.001976 +/- 0.000172
MLP	x2_x4_x6	-647.183073	0.005492	0.001981 +/- 0.000173
MLP	x1_x2_x4	-447.620484	0.004827	0.001974 +/- 0.000159
MLP	x1	-1910.004366	0.004715	0.001979 +/- 0.000167
MLP	x4_x5_x6	-142.473564	0.004149	0.001978 +/- 0.000162
MLP	x2_x5	-509.760241	0.003805	0.00198 +/- 0.000166
MLP	x2_x4_x5_x6	-91.234584	0.003544	0.001973 +/- 0.00017
MLP	x5	-1389.899828	0.002478	0.001976 +/- 0.000163
MLP	x1_x3_x5_x6	-344.845896	0.001493	0.002061 +/- 0.000229
MLP	x2_x4	-4507.52369	0.001275	0.001984 +/- 0.000167
MLP	x1_x4_x5	-321.892773	0.001142	0.001957 +/- 0.000165
MLP	x2_x6	-1957.664214	0.000281	0.001991 +/- 0.000177
MLP	x1_x3	-1540.176928	-6.80E-05	0.002052 +/- 0.000184
MLP	x1_x2	-739.484046	-0.000723	0.001983 +/- 0.000172
MLP	x1_x4_x6	-202.425956	-0.001292	0.001976 +/- 0.000169
MLP	x2	-4833.357937	-0.002056	0.001996 +/- 0.00017
MLP	x1_x2_x3_x5_x6	-124.127431	-0.002108	0.002062 +/- 0.000175
MLP	x6	-7963.463622	-0.003065	0.001989 +/- 0.000173
MLP	x4_x6	-1293.915701	-0.003208	0.001986 +/- 0.000169
MLP	x1_x2_x5_x6	-121.939245	-0.004182	0.001974 +/- 0.000172
MLP	x1_x3_x4_x5_x6	-99.938372	-0.004655	0.002004 +/- 0.000151
MLP	x5_x6	-260.543912	-0.008895	0.001981 +/- 0.000169
MLP	x1_x2_x3_x4_x5_x6	-162.263025	-0.008963	0.002034 +/- 0.000204
MLP	x3_x4_x5_x6	-93.934418	-0.014552	0.002079 +/- 0.00011
MLP	x1_x3_x5	-98.052262	-0.019109	0.002042 +/- 0.000183
MLP	x1_x3_x4_x6	-107.819863	-0.019239	0.002053 +/- 0.000143
MLP	x1_x2_x3_x4	-224.527541	-0.019673	0.002046 +/- 0.000177
MLP	x1_x2_x3_x4_x5	-75.897368	-0.026543	0.002052 +/- 0.000202
MLP	x3_x4_x5	-81.002275	-0.028989	0.002057 +/- 0.000201
MLP	x1_x2_x3_x6	-88.28933	-0.030956	0.002059 +/- 0.000169
MLP	x3_x5	-63.571022	-0.034518	0.002052 +/- 0.000139
MLP	x2_x3_x5_x6	-67.786573	-0.036262	0.002042 +/- 0.000141
MLP	x3_x5_x6	-148.407717	-0.038359	0.002067 +/- 0.000158
MLP	x2_x3_x4_x5	-80.819815	-0.039877	0.002056 +/- 0.000139
MLP	x3_x4_x6	-57.977699	-0.03999	0.002061 +/- 0.000208
MLP	x1_x3_x4	-70.498613	-0.040609	0.002042 +/- 0.000176
MLP	x1_x3_x6	-127.797375	-0.040898	0.002049 +/- 0.000167
MLP	x2_x3_x4_x6	-47.952709	-0.043719	0.002062 +/- 0.000173
MLP	x1_x2_x3_x4_x6	-73.578529	-0.047739	0.002042 +/- 0.000137
MLP	x1_x2_x3_x5	-82.448397	-0.0479	0.002037 +/- 0.000149
MLP	x2_x3_x4	-57.049362	-0.050669	0.00204 +/- 0.000164
MLP	x1_x2_x3	-65.849602	-0.052263	0.002069 +/- 0.000182
MLP	x2_x3_x5	-69.449794	-0.052465	0.002032 +/- 0.000182
MLP	x3_x4	-72.006788	-0.05728	0.002071 +/- 0.000181
MLP	x3_x6	-99.98573	-0.058669	0.002114 +/- 0.000213
MLP	x2_x3_x6	-43.94817	-0.066171	0.002067 +/- 0.000154
MLP	x3	-43.54966	-0.067611	0.002069 +/- 0.000229
MLP	x2_x3	-36.661094	-0.070253	0.002084 +/- 0.000159
MLP	x1_x3_x4_x5	-18.061157	-0.086212	0.00205 +/- 0.000201
MLP	x2_x3_x4_x5_x6	-23.30934	-0.088653	0.002055 +/- 0.000142
