Algoritmo	Entradas	Rˆ2	Rˆ2	MSE crossvalidation
RFR	x2_x4_x5_x6	0.694364	0.845588	0.002141 +/- 0.000248
RFR	x1_x2_x3_x6	0.69544	0.84518	0.002045 +/- 0.0001
RFR	x1_x2_x4_x5_x6	0.681364	0.84493	0.002111 +/- 0.000193
RFR	x1_x3_x4	0.688717	0.843745	0.002156 +/- 0.000173
RFR	x1_x2_x3_x5_x6	0.6936	0.8437	0.002074 +/- 0.000155
RFR	x1_x2_x3_x4_x5_x6	0.685018	0.84283	0.002048 +/- 0.000154
RFR	x1_x3_x4_x5	0.67123	0.84079	0.002143 +/- 0.000225
RFR	x1_x3_x4_x6	0.682174	0.839228	0.002139 +/- 0.000138
RFR	x3_x4_x5	0.663339	0.838355	0.002127 +/- 0.000225
RFR	x2_x4_x6	0.659421	0.837349	0.002266 +/- 0.000179
RFR	x1_x2_x3_x4_x6	0.659247	0.835951	0.002028 +/- 7.6e-05
RFR	x1_x3_x4_x5_x6	0.662604	0.835813	0.002084 +/- 9.2e-05
RFR	x1_x3_x6	0.662246	0.835751	0.002164 +/- 0.000111
RFR	x2_x4_x5	0.649122	0.835527	0.002254 +/- 0.00026
RFR	x1_x3_x5	0.666605	0.835034	0.002197 +/- 0.000203
RFR	x4_x5_x6	0.658218	0.834899	0.002304 +/- 0.000167
RFR	x1_x2_x3_x4	0.648556	0.83454	0.002084 +/- 0.000108
RFR	x1_x5_x6	0.653105	0.832508	0.002229 +/- 0.000203
RFR	x3_x5_x6	0.66258	0.832438	0.002251 +/- 0.000273
RFR	x1_x3_x5_x6	0.658301	0.831854	0.002175 +/- 0.000255
RFR	x1_x3	0.66654	0.831844	0.002214 +/- 0.000207
RFR	x1_x2_x4_x6	0.633826	0.831723	0.002177 +/- 0.000237
RFR	x1_x4_x6	0.65354	0.831642	0.002312 +/- 0.000298
RFR	x2_x3_x5	0.668194	0.831395	0.002179 +/- 0.000253
RFR	x2_x3_x5_x6	0.641866	0.830895	0.002157 +/- 0.000175
RFR	x2_x5_x6	0.663234	0.830783	0.002343 +/- 0.000137
RFR	x2_x3_x4_x6	0.626999	0.829082	0.00214 +/- 0.00023
RFR	x1_x2_x6	0.640732	0.82704	0.00223 +/- 0.000297
RFR	x1_x2_x3_x4_x5	0.631286	0.827	0.002045 +/- 0.00018
RFR	x1_x2_x3_x5	0.618796	0.82686	0.002114 +/- 0.000253
RFR	x1_x2_x3	0.655308	0.825899	0.0021 +/- 0.00015
RFR	x2_x3_x4_x5_x6	0.609012	0.820434	0.002063 +/- 0.000208
RFR	x1_x2_x4_x5	0.607331	0.820162	0.002131 +/- 0.000124
RFR	x2_x3_x4_x5	0.623162	0.819792	0.00209 +/- 0.00019
RFR	x1_x2_x5_x6	0.61011	0.819049	0.002189 +/- 0.000164
RFR	x2_x3_x4	0.604251	0.817042	0.002207 +/- 0.000233
RFR	x3_x4	0.609615	0.815797	0.002418 +/- 0.000274
RFR	x1_x4_x5_x6	0.585692	0.815037	0.002249 +/- 0.000196
RFR	x3_x6	0.619591	0.811973	0.002453 +/- 0.000188
RFR	x2_x3_x6	0.604766	0.811031	0.002267 +/- 0.000246
RFR	x3_x4_x5_x6	0.565471	0.806074	0.00218 +/- 0.000189
RFR	x1_x2_x4	0.57228	0.804426	0.002262 +/- 0.000152
RFR	x2_x3	0.576062	0.803172	0.002433 +/- 0.000304
RFR	x3_x4_x6	0.545385	0.802636	0.002339 +/- 0.000223
RFR	x1_x2_x5	0.558967	0.798318	0.002259 +/- 0.000121
RFR	x1_x5	0.580166	0.797738	0.00242 +/- 0.000294
RFR	x1_x4	0.572483	0.797271	0.002446 +/- 0.000333
RFR	x1_x4_x5	0.497957	0.783587	0.002363 +/- 0.000312
RFR	x3_x5	0.517408	0.779619	0.002427 +/- 0.000253
RFR	x5_x6	0.527968	0.778915	0.002493 +/- 0.000283
RFR	x2_x5	0.534658	0.778081	0.002484 +/- 0.000248
RFR	x2_x4	0.504103	0.773644	0.002469 +/- 0.000127
RFR	x4_x5	0.443659	0.758543	0.002508 +/- 0.000227
RFR	x1_x6	0.478851	0.753375	0.002502 +/- 0.000226
RFR	x4_x6	0.473643	0.752353	0.002546 +/- 0.000224
RFR	x1_x2	0.442527	0.746276	0.00254 +/- 0.000253
RFR	x2_x6	0.350154	0.722717	0.002509 +/- 0.000268
RFR	x3	-0.673948	0.388402	0.002615 +/- 0.000165
RFR	x5	-3.030731	0.220225	0.002407 +/- 0.000316
RFR	x1	-4.29879	0.153287	0.002151 +/- 0.000124
RFR	x6	-7.582685	0.13509	0.002288 +/- 0.00032
RFR	x2	-6.747777	0.134432	0.002227 +/- 8.4e-05
RFR	x4	-5.915975	0.121179	0.002366 +/- 0.000306
